country,year,type,age,f,m,total
Afghanistan,2012,sp,014,400,188,588
Afghanistan,2012,sp,1524,2280,1116,3396
Afghanistan,2012,sp,2534,2204,801,3005
Afghanistan,2012,sp,3544,1482,586,2068
Afghanistan,2012,sp,4554,1150,521,1671
Afghanistan,2012,sp,5564,850,585,1435
Afghanistan,2012,sp,65,505,651,1156
Afghanistan,2013,rel,014,1749,1705,3454
Albania,1995,sp,014,0,0,0
Albania,1995,sp,1524,1,0,1
Albania,1995,sp,2534,0,0,0
Albania,1995,sp,3544,0,0,0
Albania,1995,sp,4554,13,19,32
Albania,1995,sp,5564,20,40,60
Albania,1995,sp,65,16,30,46
Albania,1997,sp,014,1,0,1
Albania,1997,sp,1524,16,23,39
Albania,1997,sp,2534,19,43,62
Albania,1997,sp,3544,14,33,47
Albania,1997,sp,4554,9,25,34
Albania,1997,sp,5564,10,21,31
Albania,1997,sp,65,8,19,27
Albania,1998,sp,014,2,1,3
Albania,1998,sp,1524,19,17,36
Albania,1998,sp,2534,11,21,32
Albania,1998,sp,3544,12,24,36
Albania,1998,sp,4554,13,18,31
Albania,1998,sp,5564,11,26,37
Albania,1998,sp,65,13,24,37
Albania,1999,sp,014,0,0,0
Albania,1999,sp,1524,5,13,18
Albania,1999,sp,2534,13,23,36
Albania,1999,sp,3544,11,25,36
Albania,1999,sp,4554,5,19,24
Albania,1999,sp,5564,8,15,23
Albania,1999,sp,65,16,15,31
Albania,2000,sp,014,3,2,5
Albania,2000,sp,1524,11,19,30
Albania,2000,sp,2534,10,21,31
Albania,2000,sp,3544,8,14,22
Albania,2000,sp,4554,8,24,32
Albania,2000,sp,5564,5,19,24
Albania,2000,sp,65,11,16,27
Albania,2001,sp,014,1,3,4
Albania,2001,sp,1524,12,13,25
Albania,2001,sp,2534,10,18,28
Albania,2001,sp,3544,5,17,22
Albania,2001,sp,4554,7,19,26
Albania,2001,sp,5564,7,20,27
Albania,2001,sp,65,9,30,39
Albania,2002,sp,014,2,0,2
Albania,2002,sp,1524,20,21,41
Albania,2002,sp,2534,19,27,46
Albania,2002,sp,3544,9,29,38
Albania,2002,sp,4554,6,19,25
Albania,2002,sp,5564,8,23,31
Albania,2002,sp,65,17,25,42
Albania,2003,sp,014,2,0,2
Albania,2003,sp,1524,13,28,41
Albania,2003,sp,2534,8,19,27
Albania,2003,sp,3544,6,32,38
Albania,2003,sp,4554,14,16,30
Albania,2003,sp,5564,12,22,34
Albania,2003,sp,65,20,19,39
Albania,2004,sp,014,2,5,7
Albania,2004,sp,1524,12,12,24
Albania,2004,sp,2534,12,19,31
Albania,2004,sp,3544,8,21,29
Albania,2004,sp,4554,11,24,35
Albania,2004,sp,5564,10,23,33
Albania,2004,sp,65,22,20,42
Albania,2005,sp,014,0,0,0
Albania,2005,sp,1524,3,26,29
Albania,2005,sp,2534,9,21,30
Albania,2005,sp,3544,5,16,21
Albania,2005,sp,4554,5,31,36
Albania,2005,sp,5564,5,20,25
Albania,2005,sp,65,18,37,55
Albania,2006,ep,014,7,9,16
Albania,2006,ep,1524,8,19,27
Albania,2006,ep,2534,10,11,21
Albania,2006,ep,3544,9,18,27
Albania,2006,ep,4554,12,12,24
Albania,2006,ep,5564,15,9,24
Albania,2006,ep,65,15,21,36
Albania,2006,sn,014,4,15,19
Albania,2006,sn,1524,6,4,10
Albania,2006,sn,2534,3,5,8
Albania,2006,sn,3544,5,2,7
Albania,2006,sn,4554,3,8,11
Albania,2006,sn,5564,5,9,14
Albania,2006,sn,65,12,25,37
Albania,2006,sp,014,2,5,7
Albania,2006,sp,1524,12,24,36
Albania,2006,sp,2534,8,19,27
Albania,2006,sp,3544,7,22,29
Albania,2006,sp,4554,7,21,28
Albania,2006,sp,5564,7,19,26
Albania,2006,sp,65,13,20,33
Albania,2007,ep,014,1,9,10
Albania,2007,ep,1524,8,18,26
Albania,2007,ep,2534,9,9,18
Albania,2007,ep,3544,8,10,18
Albania,2007,ep,4554,13,14,27
Albania,2007,ep,5564,12,8,20
Albania,2007,ep,65,14,19,33
Albania,2007,sn,014,5,10,15
Albania,2007,sn,1524,5,9,14
Albania,2007,sn,2534,2,4,6
Albania,2007,sn,3544,1,7,8
Albania,2007,sn,4554,6,11,17
Albania,2007,sn,5564,6,13,19
Albania,2007,sn,65,9,17,26
Albania,2007,sp,014,2,0,2
Albania,2007,sp,1524,13,19,32
Albania,2007,sp,2534,9,13,22
Albania,2007,sp,3544,7,16,23
Albania,2007,sp,4554,7,24,31
Albania,2007,sp,5564,11,16,27
Albania,2007,sp,65,9,19,28
Albania,2008,ep,014,3,0,3
Albania,2008,ep,1524,12,11,23
Albania,2008,ep,2534,7,12,19
Albania,2008,ep,3544,10,6,16
Albania,2008,ep,4554,12,15,27
Albania,2008,ep,5564,10,13,23
Albania,2008,ep,65,16,18,34
Albania,2008,sn,014,6,8,14
Albania,2008,sn,1524,7,8,15
Albania,2008,sn,2534,2,2,4
Albania,2008,sn,3544,7,7,14
Albania,2008,sn,4554,5,5,10
Albania,2008,sn,5564,3,7,10
Albania,2008,sn,65,10,10,20
Albania,2008,sp,014,1,1,2
Albania,2008,sp,1524,20,23,43
Albania,2008,sp,2534,10,26,36
Albania,2008,sp,3544,8,13,21
Albania,2008,sp,4554,5,19,24
Albania,2008,sp,5564,5,13,18
Albania,2008,sp,65,10,16,26
Albania,2009,ep,014,2,2,4
Albania,2009,ep,1524,5,16,21
Albania,2009,ep,2534,5,6,11
Albania,2009,ep,3544,11,7,18
Albania,2009,ep,4554,8,14,22
Albania,2009,ep,5564,8,19,27
Albania,2009,ep,65,18,15,33
Albania,2009,sn,014,4,7,11
Albania,2009,sn,1524,7,9,16
Albania,2009,sn,2534,3,5,8
Albania,2009,sn,3544,5,9,14
Albania,2009,sn,4554,10,8,18
Albania,2009,sn,5564,2,10,12
Albania,2009,sn,65,10,20,30
Albania,2009,sp,014,2,0,2
Albania,2009,sp,1524,15,22,37
Albania,2009,sp,2534,7,21,28
Albania,2009,sp,3544,6,12,18
Albania,2009,sp,4554,9,24,33
Albania,2009,sp,5564,4,15,19
Albania,2009,sp,65,12,22,34
Albania,2010,ep,014,2,4,6
Albania,2010,ep,1524,10,26,36
Albania,2010,ep,2534,6,15,21
Albania,2010,ep,3544,8,16,24
Albania,2010,ep,4554,4,13,17
Albania,2010,ep,5564,9,14,23
Albania,2010,ep,65,17,21,38
Albania,2010,sn,014,4,6,10
Albania,2010,sn,1524,4,9,13
Albania,2010,sn,2534,3,7,10
Albania,2010,sn,3544,3,10,13
Albania,2010,sn,4554,6,13,19
Albania,2010,sn,5564,3,13,16
Albania,2010,sn,65,6,18,24
Albania,2010,sp,014,2,0,2
Albania,2010,sp,1524,11,28,39
Albania,2010,sp,2534,7,17,24
Albania,2010,sp,3544,6,14,20
Albania,2010,sp,4554,3,16,19
Albania,2010,sp,5564,2,16,18
Albania,2010,sp,65,8,15,23
Albania,2011,ep,014,3,1,4
Albania,2011,ep,1524,9,17,26
Albania,2011,ep,2534,4,10,14
Albania,2011,ep,3544,6,4,10
Albania,2011,ep,4554,12,12,24
Albania,2011,ep,5564,11,15,26
Albania,2011,ep,65,11,13,24
Albania,2011,sn,014,0,2,2
Albania,2011,sn,1524,3,11,14
Albania,2011,sn,2534,4,5,9
Albania,2011,sn,3544,4,6,10
Albania,2011,sn,4554,2,13,15
Albania,2011,sn,5564,10,17,27
Albania,2011,sn,65,9,19,28
Albania,2011,sp,014,1,0,1
Albania,2011,sp,1524,14,29,43
Albania,2011,sp,2534,10,26,36
Albania,2011,sp,3544,6,18,24
Albania,2011,sp,4554,2,30,32
Albania,2011,sp,5564,1,9,10
Albania,2011,sp,65,12,22,34
Albania,2012,ep,014,1,0,1
Albania,2012,ep,1524,5,15,20
Albania,2012,ep,2534,8,12,20
Albania,2012,ep,3544,2,5,7
Albania,2012,ep,4554,7,13,20
Albania,2012,ep,5564,5,11,16
Albania,2012,ep,65,9,13,22
Albania,2012,sn,014,1,1,2
Albania,2012,sn,1524,4,6,10
Albania,2012,sn,2534,8,9,17
Albania,2012,sn,3544,2,7,9
Albania,2012,sn,4554,3,10,13
Albania,2012,sn,5564,7,12,19
Albania,2012,sn,65,11,19,30
Albania,2012,sp,014,0,0,0
Albania,2012,sp,1524,17,33,50
Albania,2012,sp,2534,9,34,43
Albania,2012,sp,3544,6,16,22
Albania,2012,sp,4554,3,15,18
Albania,2012,sp,5564,6,11,17
Albania,2012,sp,65,12,23,35
Albania,2013,rel,014,5,14,19
Albania,2013,rel,1524,28,60,88
Albania,2013,rel,2534,34,61,95
Albania,2013,rel,3544,13,32,45
Albania,2013,rel,4554,18,44,62
Albania,2013,rel,5564,14,50,64
Albania,2013,rel,65,34,67,101
Algeria,1997,sp,014,92,659,751
Algeria,1997,sp,1524,1102,1422,2524
Algeria,1997,sp,2534,702,1982,2684
Algeria,1997,sp,3544,405,639,1044
Algeria,1997,sp,4554,242,357,599
Algeria,1997,sp,5564,236,312,548
Algeria,1997,sp,65,356,396,752
Algeria,1999,sp,014,92,40,132
Algeria,1999,sp,1524,884,1193,2077
Algeria,1999,sp,2534,621,1344,1965
Algeria,1999,sp,3544,281,556,837
Algeria,1999,sp,4554,221,706,927
Algeria,1999,sp,5564,243,263,506
Algeria,1999,sp,65,329,315,644
Algeria,2000,sp,014,36,59,95
Algeria,2000,sp,1524,1005,927,1932
Algeria,2000,sp,2534,1293,1516,2809
Algeria,2000,sp,3544,746,610,1356
Algeria,2000,sp,4554,314,491,805
Algeria,2000,sp,5564,208,234,442
Algeria,2000,sp,65,312,299,611
Algeria,2001,sp,014,79,41,120
Algeria,2001,sp,1524,1057,1345,2402
Algeria,2001,sp,2534,782,1614,2396
Algeria,2001,sp,3544,352,708,1060
Algeria,2001,sp,4554,287,401,688
Algeria,2001,sp,5564,280,283,563
Algeria,2001,sp,65,334,390,724
Algeria,2002,sp,014,71,39,110
Algeria,2002,sp,1524,1840,1364,3204
Algeria,2002,sp,2534,730,1580,2310
Algeria,2002,sp,3544,334,630,964
Algeria,2002,sp,4554,224,406,630
Algeria,2002,sp,5564,217,273,490
Algeria,2002,sp,65,258,280,538
Algeria,2003,sp,014,74,40,114
Algeria,2003,sp,1524,1017,1316,2333
Algeria,2003,sp,2534,702,1633,2335
Algeria,2003,sp,3544,326,706,1032
Algeria,2003,sp,4554,242,429,671
Algeria,2003,sp,5564,241,231,472
Algeria,2003,sp,65,356,328,684
Algeria,2004,sp,014,92,63,155
Algeria,2004,sp,1524,1011,1326,2337
Algeria,2004,sp,2534,798,1694,2492
Algeria,2004,sp,3544,320,758,1078
Algeria,2004,sp,4554,253,434,687
Algeria,2004,sp,5564,227,271,498
Algeria,2004,sp,65,359,373,732
Algeria,2005,sp,014,102,53,155
Algeria,2005,sp,1524,1044,1309,2353
Algeria,2005,sp,2534,820,1841,2661
Algeria,2005,sp,3544,389,919,1308
Algeria,2005,sp,4554,270,473,743
Algeria,2005,sp,5564,229,314,543
Algeria,2005,sp,65,465,426,891
Algeria,2006,sp,014,80,41,121
Algeria,2006,sp,1524,971,1173,2144
Algeria,2006,sp,2534,679,1573,2252
Algeria,2006,sp,3544,339,692,1031
Algeria,2006,sp,4554,223,409,632
Algeria,2006,sp,5564,197,251,448
Algeria,2006,sp,65,408,360,768
Algeria,2007,sp,014,109,95,204
Algeria,2007,sp,1524,1031,1388,2419
Algeria,2007,sp,2534,811,1749,2560
Algeria,2007,sp,3544,335,813,1148
Algeria,2007,sp,4554,273,494,767
Algeria,2007,sp,5564,247,296,543
Algeria,2007,sp,65,391,407,798
Algeria,2008,sp,014,150,99,249
Algeria,2008,sp,1524,1263,1505,2768
Algeria,2008,sp,2534,827,1786,2613
Algeria,2008,sp,3544,346,794,1140
Algeria,2008,sp,4554,256,447,703
Algeria,2008,sp,5564,226,198,424
Algeria,2008,sp,65,286,463,749
Algeria,2009,sp,014,90,43,133
Algeria,2009,sp,1524,1021,1225,2246
Algeria,2009,sp,2534,860,1827,2687
Algeria,2009,sp,3544,363,898,1261
Algeria,2009,sp,4554,270,541,811
Algeria,2009,sp,5564,241,319,560
Algeria,2009,sp,65,340,364,704
Algeria,2010,sp,014,79,52,131
Algeria,2010,sp,1524,1086,1203,2289
Algeria,2010,sp,2534,826,1669,2495
Algeria,2010,sp,3544,417,825,1242
Algeria,2010,sp,4554,251,513,764
Algeria,2010,sp,5564,222,392,614
Algeria,2010,sp,65,367,397,764
Algeria,2011,sp,014,58,42,100
Algeria,2011,sp,1524,1050,1147,2197
Algeria,2011,sp,2534,787,1513,2300
Algeria,2011,sp,3544,383,881,1264
Algeria,2011,sp,4554,211,483,694
Algeria,2011,sp,5564,202,345,547
Algeria,2011,sp,65,341,347,688
Algeria,2012,sp,014,60,29,89
Algeria,2012,sp,1524,917,1102,2019
Algeria,2012,sp,2534,773,1467,2240
Algeria,2012,sp,3544,382,857,1239
Algeria,2012,sp,4554,198,464,662
Algeria,2012,sp,5564,229,354,583
Algeria,2012,sp,65,329,349,678
Algeria,2013,rel,014,50,25,75
Algeria,2013,rel,1524,861,1021,1882
Algeria,2013,rel,2534,707,1288,1995
Algeria,2013,rel,3544,377,763,1140
Algeria,2013,rel,4554,267,475,742
Algeria,2013,rel,5564,205,324,529
Algeria,2013,rel,65,352,409,761
American Samoa,1997,sp,014,0,1,1
American Samoa,1997,sp,1524,0,0,0
American Samoa,1997,sp,2534,0,0,0
American Samoa,1997,sp,3544,0,1,1
American Samoa,1997,sp,4554,1,1,2
American Samoa,1997,sp,5564,0,1,1
American Samoa,1997,sp,65,0,1,1
American Samoa,2000,sp,4554,1,1,2
American Samoa,2000,sp,5564,NA,1,NA
American Samoa,2001,sp,3544,1,NA,NA
American Samoa,2001,sp,5564,1,NA,NA
American Samoa,2002,sp,5564,NA,1,NA
American Samoa,2003,sp,4554,1,NA,NA
American Samoa,2003,sp,5564,NA,1,NA
American Samoa,2004,sp,4554,1,NA,NA
American Samoa,2004,sp,5564,NA,2,NA
American Samoa,2005,sp,2534,1,NA,NA
American Samoa,2005,sp,4554,2,NA,NA
American Samoa,2006,ep,2534,1,NA,NA
American Samoa,2006,sp,2534,1,NA,NA
American Samoa,2006,sp,4554,2,NA,NA
American Samoa,2007,sn,014,0,0,0
American Samoa,2007,sn,1524,0,1,1
American Samoa,2007,sn,2534,0,0,0
American Samoa,2007,sn,3544,0,0,0
American Samoa,2007,sn,4554,1,1,2
American Samoa,2007,sn,5564,0,0,0
American Samoa,2007,sn,65,0,0,0
American Samoa,2008,ep,014,0,0,0
American Samoa,2008,ep,1524,0,0,0
American Samoa,2008,ep,2534,0,0,0
American Samoa,2008,ep,3544,0,0,0
American Samoa,2008,ep,4554,0,0,0
American Samoa,2008,ep,5564,0,0,0
American Samoa,2008,ep,65,0,0,0
American Samoa,2008,sn,014,0,0,0
American Samoa,2008,sn,1524,1,0,1
American Samoa,2008,sn,2534,0,0,0
American Samoa,2008,sn,3544,0,0,0
American Samoa,2008,sn,4554,1,1,2
American Samoa,2008,sn,5564,0,0,0
American Samoa,2008,sn,65,0,0,0
American Samoa,2008,sp,014,0,0,0
American Samoa,2008,sp,1524,0,0,0
American Samoa,2008,sp,2534,0,0,0
American Samoa,2008,sp,3544,0,0,0
American Samoa,2008,sp,4554,0,0,0
American Samoa,2008,sp,5564,0,0,0
American Samoa,2008,sp,65,0,0,0
American Samoa,2009,ep,014,0,0,0
American Samoa,2009,ep,1524,0,0,0
American Samoa,2009,ep,2534,1,0,1
American Samoa,2009,ep,3544,0,0,0
American Samoa,2009,ep,4554,0,1,1
American Samoa,2009,ep,5564,0,0,0
American Samoa,2009,ep,65,0,0,0
American Samoa,2009,sn,014,0,0,0
American Samoa,2009,sn,1524,0,0,0
American Samoa,2009,sn,2534,0,0,0
American Samoa,2009,sn,3544,0,0,0
American Samoa,2009,sn,4554,2,0,2
American Samoa,2009,sn,5564,0,0,0
American Samoa,2009,sn,65,0,0,0
American Samoa,2009,sp,014,0,0,0
American Samoa,2009,sp,1524,0,0,0
American Samoa,2009,sp,2534,0,0,0
American Samoa,2009,sp,3544,0,0,0
American Samoa,2009,sp,4554,0,0,0
American Samoa,2009,sp,5564,0,0,0
American Samoa,2009,sp,65,0,0,0
American Samoa,2010,ep,014,0,0,0
American Samoa,2010,ep,1524,0,0,0
American Samoa,2010,ep,2534,0,0,0
American Samoa,2010,ep,3544,0,0,0
American Samoa,2010,ep,4554,0,1,1
American Samoa,2010,ep,5564,0,0,0
American Samoa,2010,ep,65,0,0,0
American Samoa,2010,sn,014,0,0,0
American Samoa,2010,sn,1524,0,0,0
American Samoa,2010,sn,2534,1,1,2
American Samoa,2010,sn,3544,0,0,0
American Samoa,2010,sn,4554,0,0,0
American Samoa,2010,sn,5564,0,0,0
American Samoa,2010,sn,65,0,1,1
American Samoa,2010,sp,014,0,0,0
American Samoa,2010,sp,1524,0,0,0
American Samoa,2010,sp,2534,0,0,0
American Samoa,2010,sp,3544,0,0,0
American Samoa,2010,sp,4554,0,0,0
American Samoa,2010,sp,5564,0,0,0
American Samoa,2010,sp,65,0,0,0
American Samoa,2011,sn,3544,1,NA,NA
American Samoa,2011,sn,4554,NA,1,NA
American Samoa,2011,sn,5564,NA,1,NA
Andorra,1996,sp,014,0,0,0
Andorra,1996,sp,1524,1,0,1
Andorra,1996,sp,2534,1,0,1
Andorra,1996,sp,3544,0,4,4
Andorra,1996,sp,4554,0,1,1
Andorra,1996,sp,5564,1,0,1
Andorra,1996,sp,65,0,0,0
Andorra,1997,sp,014,0,0,0
Andorra,1997,sp,1524,1,0,1
Andorra,1997,sp,2534,2,1,3
Andorra,1997,sp,3544,3,2,5
Andorra,1997,sp,4554,0,2,2
Andorra,1997,sp,5564,0,1,1
Andorra,1997,sp,65,1,6,7
Andorra,1998,sp,014,NA,0,NA
Andorra,1998,sp,1524,NA,0,NA
Andorra,1998,sp,2534,NA,0,NA
Andorra,1998,sp,3544,NA,1,NA
Andorra,1998,sp,4554,NA,0,NA
Andorra,1998,sp,5564,NA,0,NA
Andorra,1998,sp,65,NA,0,NA
Andorra,1999,sp,014,0,0,0
Andorra,1999,sp,1524,0,0,0
Andorra,1999,sp,2534,0,0,0
Andorra,1999,sp,3544,1,1,2
Andorra,1999,sp,4554,0,1,1
Andorra,1999,sp,5564,0,0,0
Andorra,1999,sp,65,0,0,0
Andorra,2000,sp,014,NA,0,NA
Andorra,2000,sp,1524,NA,0,NA
Andorra,2000,sp,2534,NA,1,NA
Andorra,2000,sp,3544,NA,0,NA
Andorra,2000,sp,4554,NA,0,NA
Andorra,2000,sp,5564,NA,0,NA
Andorra,2000,sp,65,NA,0,NA
Andorra,2001,sp,014,NA,0,NA
Andorra,2001,sp,3544,NA,2,NA
Andorra,2001,sp,4554,NA,1,NA
Andorra,2002,sp,014,0,0,0
Andorra,2002,sp,1524,1,0,1
Andorra,2002,sp,2534,0,0,0
Andorra,2002,sp,3544,0,1,1
Andorra,2002,sp,4554,0,0,0
Andorra,2002,sp,5564,0,0,0
Andorra,2002,sp,65,0,0,0
Andorra,2003,sp,014,0,0,0
Andorra,2003,sp,1524,1,0,1
Andorra,2003,sp,2534,1,0,1
Andorra,2003,sp,3544,1,1,2
Andorra,2003,sp,4554,0,2,2
Andorra,2003,sp,5564,0,0,0
Andorra,2003,sp,65,0,0,0
Andorra,2004,sp,014,0,0,0
Andorra,2004,sp,1524,0,0,0
Andorra,2004,sp,2534,1,0,1
Andorra,2004,sp,3544,0,1,1
Andorra,2004,sp,4554,0,1,1
Andorra,2004,sp,5564,0,0,0
Andorra,2004,sp,65,0,0,0
Andorra,2005,sp,014,0,0,0
Andorra,2005,sp,1524,1,0,1
Andorra,2005,sp,2534,1,1,2
Andorra,2005,sp,3544,1,1,2
Andorra,2005,sp,4554,0,0,0
Andorra,2005,sp,5564,0,0,0
Andorra,2005,sp,65,0,0,0
Andorra,2006,ep,014,0,0,0
Andorra,2006,ep,1524,0,0,0
Andorra,2006,ep,2534,0,0,0
Andorra,2006,ep,3544,0,0,0
Andorra,2006,ep,4554,0,0,0
Andorra,2006,ep,5564,1,0,1
Andorra,2006,ep,65,0,1,1
Andorra,2006,sn,014,0,0,0
Andorra,2006,sn,1524,0,0,0
Andorra,2006,sn,2534,0,0,0
Andorra,2006,sn,3544,0,0,0
Andorra,2006,sn,4554,0,0,0
Andorra,2006,sn,5564,0,1,1
Andorra,2006,sn,65,1,0,1
Andorra,2006,sp,014,0,0,0
Andorra,2006,sp,1524,0,1,1
Andorra,2006,sp,2534,1,1,2
Andorra,2006,sp,3544,0,2,2
Andorra,2006,sp,4554,1,0,1
Andorra,2006,sp,5564,0,1,1
Andorra,2006,sp,65,0,1,1
Andorra,2007,ep,3544,NA,1,NA
Andorra,2007,ep,4554,1,NA,NA
Andorra,2007,ep,5564,1,NA,NA
Andorra,2007,sn,65,NA,1,NA
Andorra,2007,sp,2534,1,NA,NA
Andorra,2007,sp,4554,1,NA,NA
Andorra,2008,ep,014,0,0,0
Andorra,2008,ep,1524,0,0,0
Andorra,2008,ep,2534,0,0,0
Andorra,2008,ep,3544,0,0,0
Andorra,2008,ep,4554,0,0,0
Andorra,2008,ep,5564,0,0,0
Andorra,2008,ep,65,0,0,0
Andorra,2008,sn,014,0,0,0
Andorra,2008,sn,1524,0,0,0
Andorra,2008,sn,2534,0,0,0
Andorra,2008,sn,3544,0,0,0
Andorra,2008,sn,4554,0,0,0
Andorra,2008,sn,5564,0,0,0
Andorra,2008,sn,65,0,1,1
Andorra,2008,sp,014,0,0,0
Andorra,2008,sp,1524,0,0,0
Andorra,2008,sp,2534,0,0,0
Andorra,2008,sp,3544,1,0,1
Andorra,2008,sp,4554,1,1,2
Andorra,2008,sp,5564,0,0,0
Andorra,2008,sp,65,0,0,0
Andorra,2009,ep,014,0,0,0
Andorra,2009,ep,1524,0,0,0
Andorra,2009,ep,2534,0,1,1
Andorra,2009,ep,3544,0,0,0
Andorra,2009,ep,4554,0,0,0
Andorra,2009,ep,5564,0,0,0
Andorra,2009,ep,65,0,0,0
Andorra,2009,sn,014,0,0,0
Andorra,2009,sn,1524,0,0,0
Andorra,2009,sn,2534,0,0,0
Andorra,2009,sn,3544,0,1,1
Andorra,2009,sn,4554,0,0,0
Andorra,2009,sn,5564,2,0,2
Andorra,2009,sn,65,1,0,1
