gene,biological_process,molecular_function,systematic_name,a_number,nutrient,growth_rate,expression
COQ2,ubiquinone metabolism,prenyltransferase activity*,YNR041C,1086641,G,0.05,-0.68
PSD1,phosphatidylcholine biosynthesis,phosphatidylserine decarboxylase activity,YNL169C,1081334,G,0.05,-1.03
,biological process unknown,molecular function unknown,YOL107W,1086484,G,0.05,-0.62
PAC1,"nuclear migration, microtubule-mediated",molecular function unknown,YOR269W,1083898,G,0.05,-0.67
SUR7,sporulation (sensu Fungi),molecular function unknown,YML052W,1084091,G,0.05,-0.79
RAX1,bud site selection,molecular function unknown,YOR301W,1083501,G,0.05,-0.89
DFM1,biological process unknown*,molecular function unknown,YDR411C,1080740,G,0.05,-0.75
RBD2,biological process unknown,molecular function unknown,YPL246C,1083390,G,0.05,-0.73
,biological process unknown,molecular function unknown,YBL081W,1082907,G,0.05,-0.83
YIP4,vesicle-mediated transport,Rab GTPase binding,YGL198W,1085193,G,0.05,-0.49
SRB2,transcription from RNA polymerase II promoter,RNA polymerase II transcription mediator activity,YHR041C,1086301,G,0.05,-0.66
HOL1,transport,transporter activity,YNR055C,1083737,G,0.05,-0.66
MEP3,ammonium transport,ammonium transporter activity,YPR138C,1086228,G,0.05,-0.71
,biological process unknown,molecular function unknown,YOL092W,1083442,G,0.05,-0.29
FEN2,endocytosis*,pantothenate transporter activity,YCR028C,1081453,G,0.05,-0.39
,biological process unknown,molecular function unknown,YHR151C,1085950,G,0.05,-0.53
RFT1,protein amino acid N-linked glycosylation*,oligosaccharide transporter activity,YBL020W,1080870,G,0.05,-0.72
,biological process unknown,molecular function unknown,YDR107C,1086171,G,0.05,-0.26
MCK1,protein amino acid phosphorylation*,glycogen synthase kinase 3 activity*,YNL307C,1082823,G,0.05,-0.34
GPI10,GPI anchor biosynthesis,mannosyltransferase activity,YGL142C,1081482,G,0.05,-0.24
APT1,AMP biosynthesis*,adenine phosphoribosyltransferase activity,YML022W,1083110,G,0.05,-0.31
,biological process unknown,molecular function unknown,YCL002C,1084530,G,0.05,-0.14
,biological process unknown,molecular function unknown,YLR050C,1086437,G,0.05,-0.38
CPT1,phosphatidylcholine biosynthesis,diacylglycerol cholinephosphotransferase activity,YNL130C,1086693,G,0.05,-0.66
ERV29,ER to Golgi transport,molecular function unknown,YGR284C,1084118,G,0.05,-0.23
SFK1,actin cytoskeleton organization and biogenesis*,molecular function unknown,YKL051W,1083285,G,0.05,-0.99
,transport,transporter activity,YDL119C,1084066,G,0.05,-0.2
SEC20,vesicle fusion*,v-SNARE activity,YDR498C,1083651,G,0.05,-0.25
TIR4,biological process unknown,molecular function unknown,YOR009W,1081761,G,0.05,-0.15
,biological process unknown,electron carrier activity,YPR004C,1085574,G,0.05,-0.22
,biological process unknown,molecular function unknown,YMR315W,1085513,G,0.05,-0.26
ARC35,actin cytoskeleton organization and biogenesis*,structural molecule activity,YNR035C,1085265,G,0.05,-0.33
SOL1,tRNA-nucleus export*,molecular function unknown*,YNR034W,1086881,G,0.05,0.11
BIO2,biotin biosynthesis,biotin synthase activity,YGR286C,1085649,G,0.05,-0.02
ASC1,biological process unknown,molecular function unknown,YMR116C,1084929,G,0.05,0.03
RBG1,biological process unknown,GTP binding,YAL036C,1085434,G,0.05,-0.4
PTC4,biological process unknown,protein phosphatase type 2C activity,YBR125C,1084976,G,0.05,-0.16
,biological process unknown,protein tyrosine phosphatase activity*,YGR203W,1084304,G,0.05,-0.34
OXA1,mitochondrial inner membrane protein import,protein transporter activity,YER154W,1082077,G,0.05,-0.48
SIT4,cell wall organization and biogenesis*,protein serine/threonine phosphatase activity,YDL047W,1082584,G,0.05,-0.7
PUB1,"mRNA catabolism, nonsense-mediated decay",nucleic acid binding,YNL016W,1082148,G,0.05,-0.95
FPR4,biological process unknown,peptidyl-prolyl cis-trans isomerase activity,YLR449W,1084375,G,0.05,-0.49
FUN12,translational initiation,GTPase activity*,YAL035W,1081880,G,0.05,-0.27
DPH2,peptidyl-diphthamide biosynthesis from peptidyl-histidine,molecular function unknown,YKL191W,1080995,G,0.05,0.07
DPS1,protein biosynthesis,RNA binding*,YLL018C,1083658,G,0.05,0.52
DLD1,aerobic respiration*,D-lactate dehydrogenase (cytochrome) activity,YDL174C,1084637,G,0.05,0.19
ASN2,asparagine biosynthesis,asparagine synthase (glutamine-hydrolyzing) activity,YGR124W,1086005,G,0.05,0.74
TRM9,response to stress*,tRNA (uridine) methyltransferase activity,YML014W,1080833,G,0.05,0.34
DED81,asparaginyl-tRNA aminoacylation,ATP binding*,YHR019C,1082382,G,0.05,-0.21
SRM1,rRNA-nucleus export*,signal transducer activity,YGL097W,1083240,G,0.05,-0.67
SAM50,protein complex assembly*,molecular function unknown,YNL026W,1085928,G,0.05,-0.43
POP2,regulation of transcription from RNA polymerase II promoter*,3'-5'-exoribonuclease activity,YNR052C,1084789,G,0.05,-0.39
FAA4,lipid metabolism*,long-chain-fatty-acid-CoA ligase activity,YMR246W,1082966,G,0.05,0.42
,,,YJL211C,1083284,G,0.05,0.18
CEM1,fatty acid biosynthesis,fatty-acid synthase activity,YER061C,1081897,G,0.05,-0.26
,biological process unknown,molecular function unknown,YOR271C,1083572,G,0.05,-0.01
LYS21,lysine biosynthesis via aminoadipic acid,homocitrate synthase activity,YDL131W,1084248,G,0.05,0.27
TRA1,regulation of transcription from RNA polymerase II promoter*,histone acetyltransferase activity,YHR099W,1084315,G,0.05,-0.29
PDX1,acetyl-CoA biosynthesis from pyruvate,protein binding,YGR193C,1084720,G,0.05,0.23
PHB2,protein folding*,molecular function unknown,YGR231C,1083477,G,0.05,-0.02
,biological process unknown,molecular function unknown,YGR058W,1081486,G,0.05,0.03
GSF2,protein folding*,molecular function unknown,YML048W,1086522,G,0.05,-0.17
AAP1',proteolysis and peptidolysis*,aminopeptidase activity,YHR047C,1081027,G,0.05,0.33
NMA1,NAD metabolism,nicotinamide-nucleotide adenylyltransferase activity,YLR328W,1086660,G,0.05,-0.1
CCW14,cell wall organization and biogenesis,structural constituent of cell wall,YLR390W-A,1084827,G,0.05,0.04
DOG2,response to stress*,2-deoxyglucose-6-phosphatase activity,YHR043C,1082112,G,0.05,-0.9
CYC2,mitochondrial intermembrane space protein import*,molecular function unknown,YOR037W,1084223,G,0.05,-0.4
CTR1,copper ion import,copper uptake transporter activity,YPR124W,1082022,G,0.05,-1.2
SUT1,regulation of transcription from RNA polymerase II promoter*,transcription factor activity*,YGL162W,1081934,G,0.05,-0.54
NAT2,N-terminal peptidyl-methionine acetylation,peptide alpha-N-acetyltransferase activity,YGR147C,1083660,G,0.05,-0.3
MRPL10,protein biosynthesis,structural constituent of ribosome,YNL284C,1083593,G,0.05,-0.34
NAM2,Group I intron splicing*,mRNA binding*,YLR382C,1082001,G,0.05,-0.23
ISM1,protein biosynthesis*,isoleucine-tRNA ligase activity,YPL040C,1086733,G,0.05,-0.36
MSF1,protein biosynthesis,phenylalanine-tRNA ligase activity,YPR047W,1084330,G,0.05,-0.14
MAS1,mitochondrial protein processing,mitochondrial processing peptidase activity,YLR163C,1085883,G,0.05,-0.03
SUV3,RNA catabolism,ATP-dependent RNA helicase activity,YPL029W,1086436,G,0.05,-0.47
OMS1,biological process unknown,S-adenosylmethionine-dependent methyltransferase activity,YDR316W,1085139,G,0.05,-0.89
,biological process unknown,molecular function unknown,YGR150C,1086034,G,0.05,-0.51
MRPL22,protein biosynthesis*,structural constituent of ribosome,YNL177C,1086418,G,0.05,-0.36
ADK2,nucleotide metabolism,adenylate kinase activity,YER170W,1080646,G,0.05,-0.2
GUF1,biological process unknown,GTPase activity,YLR289W,1083556,G,0.05,-0.37
UBP16,protein deubiquitination,ubiquitin-specific protease activity,YPL072W,1083033,G,0.05,-0.53
AAD4,aldehyde metabolism,aryl-alcohol dehydrogenase activity,YDL243C,1084734,G,0.05,-0.53
HXK1,glucose metabolism*,hexokinase activity,YFR053C,1080697,G,0.05,-1.39
HPA2,histone acetylation,histone acetyltransferase activity,YPR193C,1085882,G,0.05,-0.03
LPD1,glycine catabolism*,glycine dehydrogenase (decarboxylating) activity*,YFL018C,1084577,G,0.05,0.43
MPM1,biological process unknown,molecular function unknown,YJL066C,1086097,G,0.05,0.8
MDM34,mitochondrion organization and biogenesis,molecular function unknown,YGL219C,1084924,G,0.05,0.05
MDM38,mitochondrion organization and biogenesis*,molecular function unknown,YOL027C,1084630,G,0.05,0.28
,biological process unknown,molecular function unknown,YEL070W,1081666,G,0.05,-0.32
MAL12,maltose catabolism,alpha-glucosidase activity,YGR292W,1082618,G,0.05,-1.43
MAL32,maltose catabolism,alpha-glucosidase activity,YBR299W,1083783,G,0.05,-1.21
MHR1,mitochondrial genome maintenance,transcription regulator activity,YDR296W,1084576,G,0.05,-0.49
SNZ2,thiamin biosynthesis*,protein binding,YNL333W,1084487,G,0.05,-0.28
SNZ3,thiamin biosynthesis*,protein binding,YFL059W,1082588,G,0.05,-0.36
YPS6,biological process unknown,aspartic-type endopeptidase activity,YIR039C,1082762,G,0.05,-0.25
,biological process unknown,molecular function unknown,YKR016W,1080882,G,0.05,-0.52
,biological process unknown,molecular function unknown,YJR080C,1082800,G,0.05,-0.22
RIP1,aerobic respiration*,ubiquinol-cytochrome-c reductase activity,YEL024W,1080957,G,0.05,-0.28
SDH3,tricarboxylic acid cycle*,succinate dehydrogenase (ubiquinone) activity,YKL141W,1084935,G,0.05,0.42
CYB2,electron transport,L-lactate dehydrogenase (cytochrome) activity,YML054C,1081932,G,0.05,0.38
FUN34,transport*,transporter activity,YNR002C,1082860,G,0.05,1.82
GPT2,phospholipid biosynthesis,glycerol-3-phosphate O-acyltransferase activity,YKR067W,1085307,G,0.05,0.35
MIR1,phosphate transport,inorganic phosphate transporter activity,YJR077C,1086599,G,0.05,0.11
ATP1,ATP synthesis coupled proton transport,"hydrogen-transporting ATP synthase activity, rotational mechanism",YBL099W,1086465,G,0.05,0.27
QCR2,aerobic respiration*,ubiquinol-cytochrome-c reductase activity,YPR191W,1083465,G,0.05,-0.33
GAL3,"regulation of transcription, DNA-dependent*",protein binding,YDR009W,1080901,G,0.05,0.1
MRK1,protein amino acid phosphorylation*,glycogen synthase kinase 3 activity,YDL079C,1082747,G,0.05,0.06
RPM2,protein biosynthesis*,ribonuclease P activity,YML091C,1081318,G,0.05,0.07
HXT6,hexose transport,glucose transporter activity*,YDR343C,1082540,G,0.05,0.16
HXT7,hexose transport,glucose transporter activity*,YDR342C,1083741,G,0.05,0.48
,biological process unknown,molecular function unknown,YML087C,1085636,G,0.05,-1.25
MRP51,protein biosynthesis*,structural constituent of ribosome,YPL118W,1084798,G,0.05,-0.58
MSD1,protein biosynthesis,aspartate-tRNA ligase activity,YPL104W,1081670,G,0.05,-0.29
MRP7,protein biosynthesis,structural constituent of ribosome*,YNL005C,1080655,G,0.05,-0.15
GLG2,glycogen biosynthesis,glycogenin glucosyltransferase activity,YJL137C,1086304,G,0.05,0.24
,NAD catabolism,"oxidoreductase activity, acting on the CH-NH group of donors, quinone or similar compound as acceptor",YOR356W,1086685,G,0.05,0.09
MDG1,signal transduction during conjugation with cellular fusion,molecular function unknown,YNL173C,1080693,G,0.05,-0.22
ODC1,mitochondrial transport,intracellular transporter activity*,YPL134C,1082322,G,0.05,0.21
PET494,protein biosynthesis,translation regulator activity,YNR045W,1085794,G,0.05,0.05
PET9,aerobic respiration*,ATP:ADP antiporter activity,YBL030C,1082255,G,0.05,0.59
NDI1,"mitochondrial electron transport, NADH to ubiquinone","oxidoreductase activity, acting on NADH or NADPH, quinone or similar compound as acceptor",YML120C,1083797,G,0.05,0.38
CYT1,"mitochondrial electron transport, ubiquinol to cytochrome c*","electron transporter, transferring electrons within CoQH2-cytochrome c reductase complex activity",YOR065W,1081866,G,0.05,0.29
TIM54,mitochondrial inner membrane protein import,protein transporter activity,YJL054W,1084329,G,0.05,-0.18
MSR1,protein biosynthesis*,arginine-tRNA ligase activity,YHR091C,1084092,G,0.05,-0.17
MRH4,ribosome biogenesis,RNA helicase activity,YGL064C,1085684,G,0.05,-0.21
TIM50,mitochondrial matrix protein import,molecular function unknown,YPL063W,1084453,G,0.05,0.05
CST9,synaptonemal complex formation*,DNA binding,YLR394W,1080635,G,0.05,-0.06
MIA40,protein targeting*,molecular function unknown,YKL195W,1080881,G,0.05,0.07
,biological process unknown,molecular function unknown,YLR077W,1084403,G,0.05,0.03
MDV1,mitochondrial genome maintenance*,molecular function unknown,YJL112W,1086240,G,0.05,-0.18
YAP6,positive regulation of transcription from RNA polymerase II promoter,RNA polymerase II transcription factor activity,YDR259C,1083864,G,0.05,-0.12
,biological process unknown,molecular function unknown,YMR002W,1086700,G,0.05,-0.17
,biological process unknown,molecular function unknown,YOR205C,1081520,G,0.05,-0.18
HXT17,hexose transport,glucose transporter activity*,YNR072W,1082728,G,0.05,-1.44
MSM1,methionyl-tRNA aminoacylation,methionine-tRNA ligase activity,YGR171C,1086411,G,0.05,-0.47
RSM22,protein biosynthesis,structural constituent of ribosome,YKL155C,1084398,G,0.05,-0.15
BDH1,butanediol fermentation,"(R,R)-butanediol dehydrogenase activity",YAL060W,1081570,G,0.05,-0.71
NAF1,transport*,RNA binding*,YNL124W,1085657,G,0.05,-0.29
THP1,bud site selection*,protein binding,YOL072W,1086656,G,0.05,-0.41
,biological process unknown,molecular function unknown,YLR193C,1086123,G,0.05,0.02
GDS1,aerobic respiration,molecular function unknown,YOR355W,1080726,G,0.05,-0.23
TGS1,ribosome biogenesis*,RNA methyltransferase activity,YPL157W,1085439,G,0.05,-0.21
,biological process unknown,molecular function unknown,YCL005W,1085588,G,0.05,-0.55
GAS5,biological process unknown,"1,3-beta-glucanosyltransferase activity",YOL030W,1081638,G,0.05,-0.78
"ADE5,7",'de novo' IMP biosynthesis*,phosphoribosylamine-glycine ligase activity*,YGL234W,1083372,G,0.05,-0.78
PDB1,pyruvate metabolism,pyruvate dehydrogenase (acetyl-transferring) activity,YBR221C,1083430,G,0.05,-0.76
SSB1,protein biosynthesis,ATPase activity*,YDL229W,1084299,G,0.05,-1.29
SSB2,protein biosynthesis,ATPase activity*,YNL209W,1086682,G,0.05,-1.07
